measured log solubility in mols per litre,molecules
1.34,CNN
-2.64,C1CCCC1
-0.4,C=C
1.07,O=C1CCCN1
-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
-1.59,CC(C)Br
-6.0,c1ccc2c(c1)-c1cccc3cccc-2c13
-1.0,CI
-4.21,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
-3.4930000000000003,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
-3.36,CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21
-1.95,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
-4.16,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
-1.11,COc1ncnc2nccnc12
-3.36,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
-7.32,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
-2.92,c1ccc(NNc2ccccc2)cc1
-5.696000000000001,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
-2.369,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
-5.282,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O
-2.338,CC1(C)CON(Cc2ccccc2Cl)C1=O
-0.18,CC(C)C(C)O
-7.42,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
-3.63,CCCCCCCCCCO
-4.706,CCN1c2ccccc2N(C)C(=S)c2cccnc21
-7.15,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
0.02,c1cnc2ncncc2n1
-3.952,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
-4.47,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-5.64,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
-0.8,CCCC(O)CC
-1.62,CCCOCCC
-2.7,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O
-3.03,C=C(C)CCC
-2.09,C=CCC=C
-0.88,OC1CCCCCC1
-2.54,ClC(Cl)=C(Cl)Cl
-0.49,CCCOC=O
-0.364,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
-5.89,Cc1c2ccccc2cc2ccccc12
-5.46,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
-5.666,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
-0.624,Cc1c(N)c(=O)n(-c2ccccc2)n1C
-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1
-1.01,CC(C)COC=O
0.54,COP(=O)(NC(C)=O)SC
-3.73,C=CCCCCC
-3.04,c1ccc2c(c1)CCC2
-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
-3.85,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
-1.77,O=C1CSC(=S)N1
-0.22,CC[N+](=O)[O-]
-4.17,CCc1cccc2ccccc12
-3.0210000000000004,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
-7.2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1
-1.16,C=CCC1(C)C(=O)NC(=O)NC1=O
-3.364,CN(C)c1nc(N(C)C)nc(N(C)C)n1
-4.89,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1
1.58,CC(N)=O
-3.35,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O
