expt,molecules
-1.82,CC[C@H](C)O[N+](=O)[O-]
-3.22,CC(C)NC(C)C
-5.49,OC1CCCC1
-4.37,CCOP(=S)(OCC)SCSCC
-6.4,CCCOCCO
-0.1,CCCCCCl
-5.73,O=[N+]([O-])OCCO[N+](=O)[O-]
-3.2,CN(C)C
-3.13,CC(C)[N+](=O)[O-]
-2.33,BrCCBr
-2.53,CC(C)[C@@H]1CC[C@@H](C)CC1=O
-1.46,c1ccc2c(c1)CCC2
-2.83,CCCC(=O)OC
-3.8,CC(C)=O
-4.15,Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
-4.02,C[N+](=O)[O-]
-6.34,CC(=O)OCCOC(C)=O
-2.49,CCCCCC(=O)OC
-1.83,CSSC
-3.64,CCCCN(CC)C(=O)SCCC
-2.67,CCCCCCC=O
-9.53,Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O
-0.5,FC(F)Cl
-4.82,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@H]45)[C@H]3[C@@]1(Cl)C2(Cl)Cl
-4.84,COCCOC
-5.71,CCOC(=O)CCC(=O)OCC
-0.64,ClC(Cl)(Cl)C(Cl)(Cl)Cl
-3.04,CCCCCC(C)=O
-3.18,CCCC=O
-3.71,CC[N+](=O)[O-]
-9.84,CNC(=O)O/N=C\C(C)(C)SC
-8.61,[O-][S+2]1([O-])CCCC1
-4.53,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
-4.29,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-]
-4.47,CC(C)(C)O
-1.08,ClC(Cl)Cl
-3.75,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1
-1.45,O=[N+]([O-])C(Cl)(Cl)Cl
-1.17,Cl/C=C\Cl
-6.46,CCC(=O)O
-3.73,CC(C)C[C@@H](C)O
-3.22,CCN(CC)CC
-4.38,Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl
-3.24,CCCCNCCCC
-4.85,CCCO
-5.04,CC(C)Cc1cnccn1
-3.35,c1ccc2c(c1)Cc1ccccc1-2
-4.39,CCCN
-3.28,CCOC(C)OCC
-4.16,C[C@H](O)C(F)(F)F
-4.22,C/C=C/C=O
-6.35,CCCC(=O)O
-8.18,O=[N+]([O-])OCCO
-4.57,CCCCCO
-8.15,CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC
-3.37,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2
-5.1,CO
-2.49,ICI
-4.95,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]
-3.56,Clc1cc2c(cc1Cl)Oc1ccccc1O2
-3.52,Clc1cccc2c1Oc1ccccc1O2
0.34,CCCCCCCBr
-6.09,CC(C)CC(=O)O
-1.61,CSC
-2.64,CCCCOC(C)=O
-1.28,CCCSCCC
-1.27,C[C@H](Cl)CCl
-0.46,CC(C)I
-3.67,Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2
-4.42,COC(OC)OC
-6.21,CCCCCC(=O)O
-0.16,CCCCCl
-2.16,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1
3.13,CCCCCCCCC
1.83,C=CC(C)C
-4.35,CCC(O)CC
-3.79,CCCCCCCN
-2.49,CCCCCCCC(C)=O
-10.03,COP(=S)(OC)SCn1nnc2ccccc2c1=O
-0.82,CBr
-4.09,CCCCCCCCO
-9.41,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C
-4.43,CCC(C)(C)O
2.3,CC(C)C
2.34,CC(C)C(C)C
-2.13,CC(C)CCOC=O
-2.87,c1ccc(Oc2ccccc2)cc1
-3.13,COC(C)=O
0.0,CCCCCCCl
-2.68,CCOC(=O)CC
-9.28,CS(C)=O
-0.1,CCCCCBr
-6.78,Cc1cccc(Nc2ccccc2C(=O)O)c1C
-4.29,CNC
-2.78,C=C(c1ccccc1)c1ccccc1
2.89,CC(C)CC(C)(C)C
-4.39,CCC[C@@H](C)O
-4.23,ClCCOCCCl
-4.97,CC(=O)OC(C)OC(C)=O
-2.92,CCCC(=O)CCC
-2.7,c1ccc(-c2ccccc2)cc1
-1.59,CCOCC
-1.1,CCCS
-3.65,CCCNCCC
-7.65,CCNc1nc(NC(C)C)nc(SC)n1
-2.44,CCCOC(=O)CC
-5.1,COS(=O)(=O)OC
2.67,CCCCCCC
2.38,CCC(C)C
-2.98,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-3.52,CCCC(C)=O
