u0_atom,molecules
-1615.12,CC1CC1C(N)=O
-1568.38,OC1C2C=NOC12
-1705.85,CC12CC(CO1)C2
-1624.28,[CH2][N]NC1CC1C
-1673.84,C1CCC2OC2C1
-1018.44,C#C[C]1C=N[N]O1
-1458.51,O=CC1CC=NN1
-1361.02,CC1CC1C#N
-1579.98,OC1C2CNC1C2
-1251.77,COc1ccno1
-1935.54,OC1CCC2NC12
-1218.16,C=CC1NC1CC
-1416.38,NCC1CC1O
-1585.06,OCC1C=CC=C1
-1264.82,NC(=O)OC1CC1
-1586.25,CCC(=O)C1CN1
-1191.44,C1OC1C1CO1
-1507.4,C1=NN2CCC2C1
-1130.71,O=CN=CN1CC1
-1309.11,O=C1C=CCC1
-1517.0,CC(=O)C1CCO1
-1651.43,C=C1CC=CC1N
-1236.15,O=CC1=NCCN1
-1250.33,CC1CC1O
-1706.1,CCOCC1CN1
-1370.32,OC1C2C=COC12
-1712.83,CC1OCC2CC21
-1166.51,C=Cc1cnon1
-1627.1,C1NCC1C1CN1
-1358.28,CC1=NNC(=O)C1
-1759.37,CN1CC1C1CC1
-1518.19,O=CC(O)C1CC1
-1487.35,C=C1CNC(=O)C1
-1282.06,C#CC(=O)C1CN1
-1912.92,CNC1CC1(C)C
-1720.2,CC(N)C1(O)CC1
-1549.69,C#CC(=O)N1CC1
-1327.89,N#CC1C=COC1
-1562.02,CC(=NO)C1CC1
-1779.73,CC1C2CCC1N2
-1325.94,CC1(N)CC1
-1933.84,C1=COC=NN=C1
-1649.31,CC1(O)CC1CO
-1702.2,C=CC1CC(C)O1
-1620.26,CCC1CC1N
-1590.04,C=C1CC=C(C)O1
-1779.98,Cc1c[nH]c(C)c1
-1366.64,CC1=NNCC1
-1581.02,O=C1C2CCC1C2
-1491.94,C#CC1=CC=CC1
-1578.94,OC12CC=CC1C2
-1619.05,CCC1(C)CN1
-1294.03,[O]S([O])(O)C1CC1
-1634.74,CCOC1CC1O
-1284.31,C1NCC2OC12
-1782.09,C1NCC2CC1C2
-1536.97,CN=C1C=CCN1
-1783.29,CNC1CC1(C)N
-1727.44,C=C1CCC(C)O1
-1546.98,[CH2][N]OCC1CC1
-1541.15,CC1CC1C(=O)O
-1651.44,CC1(O)CC(O)C1
-1059.31,N#Cc1ccno1
-1838.66,CCOC1CC1C
-1790.95,C=C1C=CCCC1
-1713.77,CC12CC1CCO2
-1589.94,CC(=O)C1NC1C
-1580.27,N[N][CH]C1COC1
-1443.43,C=CC(=O)N1CC1
-1909.97,C#Cc1ccc[nH]1
-2046.14,CC1C(C)C1(C)C
-1237.05,O[N][CH]CN1CC1
-1311.07,C1=CC2C=CC1C2
-1605.4,CC1C=CC(=O)C1
-1787.65,NCC1CC1CN
-1702.17,C=CC1CC(O)C1
-1412.57,[CH2][N]OCC1CN1
-1713.57,CCC1(N)COC1
-1706.47,CNCC1CC1O
-1836.94,CCCOC1CC1
-1499.81,NC1CC=CC1
-1061.53,N#Cc1cnoc1
-1848.78,CC1COC1(C)C
-1767.71,NC1(C2CC2)CC1
-1272.7,C=Cc1ccns1
-1279.1,C=C1C=CC(=O)O1
-1422.05,CC1=CCOC1=O
-1315.05,CCN1CC1
-1000.01,CC1C=CN[C]1[NH]
-1610.81,CC1=CCCC1=O
-1602.64,C#CC(=C)C1CC1
-1542.04,C#CC1(C)COC1
-1918.18,CC1(C)CC1(C)N
-1849.53,CC1(C)CC(O)C1
-1525.31,CNn1cccc1
-2189.38,O=CC1NC1C=O
-1648.88,C1CNC2CC2N1
-1353.39,OC1CC(O)C1
-1406.96,NC(=O)C1CCO1
-1909.85,CCN1CC1(C)C
-1623.52,COC1CC1OC
-1912.4,CC1NC1CC#N
-1917.42,CCC1CC1CN
-1406.85,NCC(=O)N1CC1
-1615.55,CC1CCC1N
-1904.48,CC(C)=CC1CC1
-1422.32,O=C1CC=NNC1
-1750.91,CC#CC1CCC1
-1437.23,CN=C1CCON1
-1636.66,COC1(C)CC1O
-1520.28,NC1CC(O)C1O
-1689.15,C=CC1CC1OC
-1779.91,CNC1(CN)CC1
-1730.77,CC1=CC(O)CC1
-1715.12,NC1CC(CO)C1
-1649.39,C=CC1=CC=CC1
-1295.84,NC1C=COC1
-1653.45,CC1(O)CCC1O
-1643.1,C1=CC2CNC2C1
-1537.92,CC1OCCC1=O
-1551.14,CC1CC(O)C1
-1734.19,NC1CCCOC1
-1788.35,CC12CCCC1N2
-1553.66,O=C1CCCCO1
-1353.17,CC1(O)CC1O
-1524.47,O=C1CCC1CO
-1444.57,OC1C2CCNC12
-1323.74,CC1NC1C
-1477.5,CN1CC1C(N)=O
-1317.58,OCCNC1CC1
-1924.31,CC=C1CCCC1
-1551.27,CC1=CC2CC1C2
-1327.39,C[C]1O[N]N=C1C
-1534.63,C1C2CC1C1OC21
-1576.63,OC1C=CC2CC12
-1244.2,C#CC1COC1
-1776.26,CC12CCC(C1)N2
-1285.68,O=C1CC(O)CN1
-1916.61,CC1C(C)C1(C)N
-1586.43,CC1C=COC=C1
-1526.93,CC1(O)C=COC1
-1715.65,C1=CCOCCC1
-1899.42,C=CCC1CCC1
-1511.72,N#CC=CC1CC1
-1900.79,C=C(CC)C1CC1
-1609.71,CN(C)C1CC1
-1835.68,COC1C(C)C1C
-1500.31,C1C2NC2C2NC12
-1492.43,CC1=CNC(=O)C1
-1582.8,N#CC1CC(=O)N1
-1609.6,CC1CN(C)C1=O
-1597.99,NC1CC=CC1O
-1480.73,O=CN1CCCC1
-1519.72,C=C1C=NNC1C
-1715.05,O=CCCC1CC1
-1586.69,NCC1(CO)CN1
-1589.17,C=C1C=CC(C)O1
-1423.24,CC(=NO)N1CC1
-1717.33,C1CCC2(C1)CO2
-1709.38,CCNC1CC1O
-1345.19,Cn1[nH]ccc1=O
-1453.68,CC1OCC1C#N
-1157.46,CC1CC1
-1597.33,NC1CC=COC1
-1781.04,NC12CCC(C1)C2
-1435.28,C=CC1NC1C=O
-1487.92,CC1(CN)CN1
-1790.23,C=CC1C(C)C1C
-1260.78,Cn1ccc(=O)s1
