mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,molecules
1.8864,75.34,-0.2057,0.0416,0.2473,1234.9638,0.149117,-435.282884,-435.273814,-435.27287,-435.317189,33.282,CCn1ncc(N)c1O
4.0155,61.5,-0.2265,0.0261,0.2525,1158.0475,0.099848,-510.989181,-510.980655,-510.979711,-511.022946,30.022,COc1oc(=O)oc1N
4.2387,79.94,-0.2503,0.021,0.2713,1286.9843,0.161569,-382.069349,-382.061108,-382.060164,-382.103488,31.389,N#CC1CC2(CC2)CN1
1.7772,67.14,-0.2437,-0.0021,0.2416,1012.4039,0.125789,-474.977936,-474.9708,-474.969856,-475.0096,27.859,ON=C1CC2COC1O2
1.2176,70.1,-0.2584,-0.0453,0.2131,1271.6199,0.13343,-458.894759,-458.886042,-458.885098,-458.928941,31.73,O=CC12CC(CO)(C1)O2
2.6651,76.11,-0.2291,0.0007,0.2298,1192.0134,0.13766,-418.012823,-418.004962,-418.004018,-418.045905,29.146,CC1NC1c1cnco1
2.2077,80.35,-0.2407,0.017,0.2577,1431.9794,0.183149,-424.234863,-424.225642,-424.224697,-424.268742,35.166,OCC1CC=CC(O)C1
1.8164,85.8,-0.1979,0.0826,0.2805,1208.2442,0.193517,-367.137811,-367.128791,-367.127847,-367.171106,35.556,CCC12CC1C1NC12C
2.519,67.08,-0.2636,-0.0325,0.2311,1129.5625,0.101391,-478.058412,-478.050869,-478.049925,-478.090955,27.863,Cc1cc(O)nc(F)n1
1.4264,84.04,-0.2259,0.0232,0.2491,1143.7232,0.183352,-387.099471,-387.091245,-387.090301,-387.131501,33.734,CC1=CC2CC(O)(C1)C2
1.6214,74.8,-0.243,0.074,0.317,1054.0835,0.158043,-422.974341,-422.966095,-422.965151,-423.006246,33.644,CC1(O)C2CC3(O)C2C13
1.5219,65.66,-0.2513,-0.0395,0.2118,1124.3743,0.111038,-457.700689,-457.693058,-457.692114,-457.733687,27.873,O=C1C2OC2C1C1CO1
3.2137,75.51,-0.2149,-0.0164,0.1985,1058.1928,0.16134,-419.203052,-419.194854,-419.19391,-419.235584,31.852,CC12NC1CNCC2=O
5.2756,74.93,-0.2538,-0.0654,0.1884,1065.4778,0.12568,-400.800265,-400.792482,-400.791538,-400.832943,29.093,N#CC1CC=CC(=O)C1
2.5468,54.52,-0.2693,-0.0392,0.2301,808.5883,0.074216,-438.759329,-438.753602,-438.752658,-438.78931,21.676,Oc1ccnc(F)n1
4.8697,60.41,-0.2552,-0.009,0.2463,1194.1913,0.116696,-437.007658,-436.998487,-436.997543,-437.042699,30.122,COC(=O)NC(C)=O
1.906,83.89,-0.2006,0.0739,0.2744,1091.0531,0.191245,-404.269772,-404.259854,-404.25891,-404.303787,38.16,CN1C2CC1(C)C2(C)O
0.1381,82.7,-0.2344,0.0245,0.2589,1316.8466,0.153886,-310.660167,-310.651679,-310.650735,-310.695101,30.033,CC#CC1C=CCC1
2.3361,74.39,-0.2381,0.0192,0.2572,1858.311,0.162632,-402.174007,-402.163788,-402.162844,-402.211151,33.232,COC=NCCOC
